Filename;Filetype;Exif.Image.Make;Exif.Photo.DateTimeOriginal;Exif.Photo.FocalLength;Exif.Photo.ExposureTime;Exif.Photo.ExposureProgram;Exif.Image.Model;Exif.Photo.ExposureBiasValue;Exif.Photo.Flash;Exif.Photo.MeteringMode;Exif.Photo.FNumber;Exif.Photo.ISOSpeedRatings;Exif.Image.Orientation
IMG_20140809_225947.jpg;jpg;SEMC;2014:08:09 22:59:47;410/100;10/160;;Xperia Pro;0/3;16;2;26/10;800;1
IMG_20140809_230008.jpg;jpg;SEMC;2014:08:09 23:00:09;410/100;10/160;;Xperia Pro;0/3;16;2;26/10;800;1
IMG_20140809_230033.jpg;jpg;SEMC;2014:08:09 23:00:33;410/100;10/160;;Xperia Pro;0/3;16;2;26/10;500;1
IMG_20140809_230040.jpg;jpg;SEMC;2014:08:09 23:00:41;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;320;1
IMG_20140809_230052.jpg;jpg;SEMC;2014:08:09 23:00:53;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;250;1
IMG_20140809_230212.jpg;jpg;SEMC;2014:08:09 23:02:12;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;320;1
IMG_20140809_230228.jpg;jpg;SEMC;2014:08:09 23:02:28;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;400;1
IMG_20140809_230319.jpg;jpg;SEMC;2014:08:09 23:03:20;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;320;1
IMG_20140809_230358.jpg;jpg;SEMC;2014:08:09 23:03:59;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;320;1
IMG_20140809_230414.jpg;jpg;SEMC;2014:08:09 23:04:15;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;320;1
IMG_20140809_230430.jpg;jpg;SEMC;2014:08:09 23:04:30;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;200;1
IMG_20140809_230502.jpg;jpg;SEMC;2014:08:09 23:05:03;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;125;1
IMG_20140809_230538.jpg;jpg;SEMC;2014:08:09 23:05:38;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;125;1
IMG_20140809_230857.jpg;jpg;SEMC;2014:08:09 23:08:58;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;160;1
IMG_20140809_231327.jpg;jpg;SEMC;2014:08:09 23:13:28;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;320;6
IMG_20140809_231339.jpg;jpg;SEMC;2014:08:09 23:13:39;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;320;6
IMG_20140809_231428.jpg;jpg;SEMC;2014:08:09 23:14:29;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;125;1
IMG_20140809_231610.jpg;jpg;SEMC;2014:08:09 23:16:11;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;250;1
IMG_20140809_231757.jpg;jpg;SEMC;2014:08:09 23:17:58;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;320;6
IMG_20140809_231812.jpg;jpg;SEMC;2014:08:09 23:18:13;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;400;1
IMG_20140809_231821.jpg;jpg;SEMC;2014:08:09 23:18:22;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;400;1
IMG_20140809_231931.jpg;jpg;SEMC;2014:08:09 23:19:32;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;320;1
IMG_20140809_232035.jpg;jpg;SEMC;2014:08:09 23:20:36;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;320;1
IMG_20140809_232118.jpg;jpg;SEMC;2014:08:09 23:21:19;410/100;10/80;;Xperia Pro;0/3;16;2;26/10;1250;1
IMG_20140809_232131.jpg;jpg;SEMC;2014:08:09 23:21:31;410/100;10/80;;Xperia Pro;0/3;16;2;26/10;1250;1
IMG_20140809_232155.jpg;jpg;SEMC;2014:08:09 23:21:55;410/100;10/130;;Xperia Pro;0/3;16;2;26/10;800;1
IMG_20140809_232206.jpg;jpg;SEMC;2014:08:09 23:22:06;410/100;10/100;;Xperia Pro;0/3;16;2;26/10;800;1
IMG_20140809_232213.jpg;jpg;SEMC;2014:08:09 23:22:14;410/100;10/130;;Xperia Pro;0/3;16;2;26/10;800;1
IMG_20140809_232219.jpg;jpg;SEMC;2014:08:09 23:22:20;410/100;10/80;;Xperia Pro;0/3;16;2;26/10;640;1
IMG_20140809_232254.jpg;jpg;SEMC;2014:08:09 23:22:54;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;100;1
IMG_20140809_232549.jpg;jpg;SEMC;2014:08:09 23:25:51;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;400;1
IMG_20140809_232558.jpg;jpg;SEMC;2014:08:09 23:25:58;410/100;10/250;;Xperia Pro;0/3;16;2;26/10;400;1
IMG_20140809_232615.jpg;jpg;SEMC;2014:08:09 23:26:15;410/100;10/160;;Xperia Pro;0/3;16;2;26/10;400;1
IMG_20140817_192217.jpg;jpg;SEMC;2014:08:17 19:22:17;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;125;1
IMG_20140817_192228.jpg;jpg;SEMC;2014:08:17 19:22:28;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;160;6
IMG_20140822_080820.jpg;jpg;SEMC;2014:08:22 08:08:20;410/100;10/320;;Xperia Pro;0/3;16;2;26/10;320;1
IMG_20140825_134758.jpg;jpg;SEMC;2014:08:25 13:47:59;410/100;10/1000;;Xperia Pro;0/3;16;255;26/10;160;1
