Folder	Filename	Filetype	DateTimeOriginal	FocalLength	ExposureTime	FNumber	ISOSpeedRatings	ExposureBiasValue	MeteringMode	Flash	ExposureProgram	Orientation	Make	Model	Horizontal	ExposureTimeN	ExposureBiasValueN
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8306.PEF	pef	2021-04-10 04:20:28	21.88	1/60	8.0	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.016666666666666666	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8307.PEF	pef	2021-04-10 04:21:14	29.38	1/90	8.0	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.011111111111111112	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8308.PEF	pef	2021-04-10 04:21:15	29.38	1/90	8.0	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.011111111111111112	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8309.PEF	pef	2021-04-10 04:21:33	23.75	1/20	8.0	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.05	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8310.PEF	pef	2021-04-10 04:46:55	18.75	1/20	3.5	800	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.05	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8311.PEF	pef	2021-04-10 04:47:06	16.0	1/20	3.5	800	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.05	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8312.PEF	pef	2021-04-10 04:48:04	20.63	1/125	5.6	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.008	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8313.PEF	pef	2021-04-10 04:49:19	16.0	1/6	5.6	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.16666666666666666	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8314.PEF	pef	2021-04-10 04:50:51	31.25	1/350	6.7	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.002857142857142857	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8315.PEF	pef	2021-04-10 04:50:52	31.25	1/350	6.7	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.002857142857142857	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8316.PEF	pef	2021-04-10 04:51:16	50.0	1/350	6.7	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.002857142857142857	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8317.PEF	pef	2021-04-10 04:51:17	50.0	1/350	6.7	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.002857142857142857	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8319.PEF	pef	2021-04-10 04:51:38	50.0	1/500	6.7	400	-5/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.002	-0.5
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8321.PEF	pef	2021-04-10 04:54:39	36.25	1/250	6.7	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.004	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8322.PEF	pef	2021-04-10 04:54:40	36.25	1/250	6.7	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.004	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8324.PEF	pef	2021-04-10 06:35:42	16.0	1/250	6.7	400	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.004	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8325.PEF	pef	2021-04-10 06:37:57	18.75	1/180	6.7	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.005555555555555556	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8326.PEF	pef	2021-04-10 06:38:03	29.38	1/250	6.7	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.004	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8327.PEF	pef	2021-04-10 06:53:59	50.0	1/250	6.7	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.004	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8328.PEF	pef	2021-04-10 06:54:40	39.38	1/180	6.7	200	0/10	5	16	3	8	PENTAX	PENTAX K-7	0	0.005555555555555556	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8329.PEF	pef	2021-04-10 07:18:40	25.63	1/125	6.7	200	5/10	5	16	3	8	PENTAX	PENTAX K-7	0	0.008	0.5
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8330.PEF	pef	2021-04-10 08:09:13	16.0	1/350	6.7	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.002857142857142857	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8331.PEF	pef	2021-04-10 08:09:26	18.75	1/250	6.7	200	0/10	5	16	3	8	PENTAX	PENTAX K-7	0	0.004	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8332.PEF	pef	2021-04-10 08:09:47	50.0	1/180	6.7	200	0/10	5	16	3	8	PENTAX	PENTAX K-7	0	0.005555555555555556	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8333.PEF	pef	2021-04-10 08:10:00	50.0	1/180	6.7	200	0/10	5	16	3	8	PENTAX	PENTAX K-7	0	0.005555555555555556	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8334.PEF	pef	2021-04-10 08:10:36	50.0	1/250	6.7	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.004	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8335.PEF	pef	2021-04-10 08:10:42	42.5	1/350	6.7	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.002857142857142857	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8336.PEF	pef	2021-04-10 08:20:42	50.0	1/125	6.7	200	0/10	5	16	3	8	PENTAX	PENTAX K-7	0	0.008	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8338.PEF	pef	2021-04-10 08:20:44	39.38	1/125	6.7	200	0/10	5	16	3	8	PENTAX	PENTAX K-7	0	0.008	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8339.PEF	pef	2021-04-10 09:53:35	33.75	1/90	6.7	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.011111111111111112	0.0
E:\_Foto\____2021\Непал. Эверест\100_1004	_IGP8341.PEF	pef	2021-04-10 10:09:40	27.5	1/60	6.7	200	0/10	5	16	3	1	PENTAX	PENTAX K-7	1	0.016666666666666666	0.0
