Filename;Filetype;Exif.Photo.ExposureBiasValue;Exif.Photo.DateTimeOriginal;Exif.Image.Model;Exif.Image.Orientation;Exif.Photo.FocalLength;Exif.Photo.FNumber;Exif.Photo.MeteringMode;Exif.Photo.ExposureTime;Exif.Photo.Flash;Exif.Photo.ExposureProgram;Exif.Image.Make;Exif.Photo.ISOSpeedRatings
IMG_20200923_205701.jpg;jpg;0/10;2020:09:23 20:57:03;ELE-L29;0;2260/1000;220/100;5;20000000/1000000000;0;2;HUAWEI;160
IMG_20200901_092530.jpg;jpg;0/10;2020:09:01 09:25:32;ELE-L29;0;5580/1000;180/100;5;208000/1000000000;0;2;HUAWEI;50
IMG_20200901_092531.jpg;jpg;0/10;2020:09:01 09:25:33;ELE-L29;0;5580/1000;180/100;5;208000/1000000000;0;2;HUAWEI;50
IMG_20200901_092536.jpg;jpg;0/10;2020:09:01 09:25:37;ELE-L29;0;7480/1000;240/100;5;367000/1000000000;0;2;HUAWEI;50
IMG_20200901_092539.jpg;jpg;0/10;2020:09:01 09:25:41;ELE-L29;0;7480/1000;240/100;5;552000/1000000000;0;2;HUAWEI;50
IMG_20200901_092540.jpg;jpg;0/10;2020:09:01 09:25:42;ELE-L29;0;7480/1000;240/100;5;649000/1000000000;0;2;HUAWEI;50
IMG_20200901_092604.jpg;jpg;0/10;2020:09:01 09:26:05;ELE-L29;0;7480/1000;240/100;5;5199000/1000000000;0;2;HUAWEI;50
IMG_20200901_092605.jpg;jpg;0/10;2020:09:01 09:26:06;ELE-L29;0;7480/1000;240/100;5;5199000/1000000000;0;2;HUAWEI;50
IMG_20200901_094253.jpg;jpg;0/10;2020:09:01 09:42:54;ELE-L29;0;7480/1000;240/100;5;2838000/1000000000;0;2;HUAWEI;50
IMG_20200901_094254.jpg;jpg;0/10;2020:09:01 09:42:56;ELE-L29;0;7480/1000;240/100;5;2838000/1000000000;0;2;HUAWEI;50
IMG_20200901_094310.jpg;jpg;0/10;2020:09:01 09:43:14;ELE-L29;0;5580/1000;180/100;5;976000/1000000000;0;2;HUAWEI;50
IMG_20200901_094312.jpg;jpg;0/10;2020:09:01 09:43:17;ELE-L29;0;5580/1000;180/100;5;993000/1000000000;0;2;HUAWEI;50
IMG_20200901_094314.jpg;jpg;0/10;2020:09:01 09:43:28;ELE-L29;0;5580/1000;180/100;5;1005000/1000000000;0;2;HUAWEI;50
IMG_20200901_094315.jpg;jpg;0/10;2020:09:01 09:43:25;ELE-L29;0;5580/1000;180/100;5;1005000/1000000000;0;2;HUAWEI;50
IMG_20200901_094316.jpg;jpg;0/10;2020:09:01 09:43:21;ELE-L29;0;5580/1000;180/100;5;1005000/1000000000;0;2;HUAWEI;50
IMG_20200901_094415.jpg;jpg;0/10;2020:09:01 09:44:16;ELE-L29;0;5580/1000;180/100;5;1290000/1000000000;0;2;HUAWEI;50
IMG_20200901_094415_1.jpg;jpg;0/10;2020:09:01 09:44:17;ELE-L29;0;5580/1000;180/100;5;1314000/1000000000;0;2;HUAWEI;50
IMG_20200901_094435.jpg;jpg;0/10;2020:09:01 09:44:37;ELE-L29;0;5580/1000;180/100;5;1729000/1000000000;0;2;HUAWEI;50
IMG_20200901_094436.jpg;jpg;0/10;2020:09:01 09:44:38;ELE-L29;0;5580/1000;180/100;5;1729000/1000000000;0;2;HUAWEI;50
IMG_20200901_094439.jpg;jpg;0/10;2020:09:01 09:44:41;ELE-L29;0;5580/1000;180/100;5;1732000/1000000000;0;2;HUAWEI;50
IMG_20200901_094439_1.jpg;jpg;0/10;2020:09:01 09:44:44;ELE-L29;0;5580/1000;180/100;5;1732000/1000000000;0;2;HUAWEI;50
IMG_20200901_094440.jpg;jpg;0/10;2020:09:01 09:44:42;ELE-L29;0;5580/1000;180/100;5;1674000/1000000000;0;2;HUAWEI;50
IMG_20200901_094441.jpg;jpg;0/10;2020:09:01 09:44:43;ELE-L29;0;5580/1000;180/100;5;1674000/1000000000;0;2;HUAWEI;50
IMG_20200901_094508.jpg;jpg;0/10;2020:09:01 09:45:09;ELE-L29;0;5580/1000;180/100;5;1491000/1000000000;0;2;HUAWEI;50
IMG_20200901_094508_1.jpg;jpg;0/10;2020:09:01 09:45:10;ELE-L29;0;5580/1000;180/100;5;1491000/1000000000;0;2;HUAWEI;50
IMG_20200901_094512.jpg;jpg;0/10;2020:09:01 09:45:14;ELE-L29;0;5580/1000;180/100;5;1453000/1000000000;0;2;HUAWEI;50
IMG_20200901_094513.jpg;jpg;0/10;2020:09:01 09:45:15;ELE-L29;0;5580/1000;180/100;5;1433000/1000000000;0;2;HUAWEI;50
IMG_20200901_094603.jpg;jpg;0/10;2020:09:01 09:46:05;ELE-L29;0;7480/1000;240/100;5;3935000/1000000000;0;2;HUAWEI;50
IMG_20200901_094608.jpg;jpg;0/10;2020:09:01 09:46:09;ELE-L29;0;7480/1000;240/100;5;4171000/1000000000;0;2;HUAWEI;50
IMG_20200901_094641.jpg;jpg;0/10;2020:09:01 09:46:43;ELE-L29;0;5580/1000;180/100;5;676000/1000000000;0;2;HUAWEI;50
IMG_20200901_094643.jpg;jpg;0/10;2020:09:01 09:46:45;ELE-L29;0;5580/1000;180/100;5;712000/1000000000;0;2;HUAWEI;50
IMG_20200901_094719.jpg;jpg;0/10;2020:09:01 09:47:20;ELE-L29;0;5580/1000;180/100;5;631000/1000000000;0;2;HUAWEI;50
