Filename;Filetype;Exif.Photo.ExposureTime;Exif.Photo.FocalLength;Exif.Photo.ISOSpeedRatings;Exif.Photo.FNumber;Exif.Photo.ExposureProgram;Exif.Photo.MeteringMode;Exif.Photo.Flash;Exif.Image.Orientation;Exif.Photo.DateTimeOriginal;Exif.Image.Make;Exif.Photo.ExposureBiasValue;Exif.Image.Model
IMG_0005.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:22 23:09:28;Canon;0/3;Canon IXUS 117 HS
IMG_0009.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:22 23:10:23;Canon;0/3;Canon IXUS 117 HS
IMG_0011.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:22 23:11:28;Canon;0/3;Canon IXUS 117 HS
IMG_0012.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:22 23:11:38;Canon;0/3;Canon IXUS 117 HS
IMG_0015.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:22 23:13:00;Canon;0/3;Canon IXUS 117 HS
IMG_0017.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:22 23:13:28;Canon;0/3;Canon IXUS 117 HS
IMG_0020.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:22 23:14:39;Canon;0/3;Canon IXUS 117 HS
IMG_0023.JPG;jpg;1/1250;5000/1000;200;28/10;;5;24;1;2012:06:23 10:42:54;Canon;0/3;Canon IXUS 117 HS
IMG_0024.JPG;jpg;1/250;5000/1000;160;80/10;;5;24;1;2012:06:23 10:43:10;Canon;0/3;Canon IXUS 117 HS
IMG_0025.JPG;jpg;1/250;5000/1000;160;80/10;;5;24;1;2012:06:23 10:44:05;Canon;0/3;Canon IXUS 117 HS
IMG_0026.JPG;jpg;1/320;5000/1000;160;80/10;;5;24;1;2012:06:23 10:45:46;Canon;0/3;Canon IXUS 117 HS
IMG_0027.JPG;jpg;1/1000;5000/1000;100;28/10;;5;24;1;2012:06:23 10:47:54;Canon;0/3;Canon IXUS 117 HS
IMG_0030.JPG;jpg;1/400;5000/1000;200;80/10;;5;24;1;2012:06:23 11:45:31;Canon;0/3;Canon IXUS 117 HS
IMG_0032.JPG;jpg;1/250;5000/1000;250;80/10;;5;24;8;2012:06:23 11:46:57;Canon;0/3;Canon IXUS 117 HS
IMG_0033.JPG;jpg;1/320;5000/1000;320;80/10;;5;24;8;2012:06:23 11:47:12;Canon;0/3;Canon IXUS 117 HS
IMG_0034.JPG;jpg;1/200;5000/1000;100;80/10;;5;24;1;2012:06:23 12:07:48;Canon;0/3;Canon IXUS 117 HS
IMG_0038.JPG;jpg;1/1000;5000/1000;200;28/10;;5;24;1;2012:06:23 12:09:33;Canon;0/3;Canon IXUS 117 HS
IMG_0039.JPG;jpg;1/80;5000/1000;250;80/10;;2;73;1;2012:06:23 12:10:06;Canon;0/3;Canon IXUS 117 HS
IMG_0040.JPG;jpg;1/640;5000/1000;200;28/10;;2;73;1;2012:06:23 12:10:20;Canon;0/3;Canon IXUS 117 HS
IMG_0041.JPG;jpg;1/200;5000/1000;100;80/10;;5;24;1;2012:06:23 12:10:46;Canon;0/3;Canon IXUS 117 HS
IMG_0042.JPG;jpg;1/200;5000/1000;200;80/10;;5;24;1;2012:06:23 12:11:55;Canon;0/3;Canon IXUS 117 HS
IMG_0043.JPG;jpg;1/200;5000/1000;250;80/10;;5;24;1;2012:06:23 12:13:41;Canon;0/3;Canon IXUS 117 HS
IMG_0045.JPG;jpg;1/400;5000/1000;400;28/10;;5;24;1;2012:06:23 12:14:55;Canon;0/3;Canon IXUS 117 HS
IMG_0046.JPG;jpg;1/400;5000/1000;320;28/10;;5;24;1;2012:06:23 12:15:18;Canon;0/3;Canon IXUS 117 HS
IMG_0047.JPG;jpg;1/400;5000/1000;400;28/10;;5;24;1;2012:06:23 12:15:35;Canon;0/3;Canon IXUS 117 HS
IMG_0048.JPG;jpg;1/320;5000/1000;320;28/10;;5;24;1;2012:06:23 12:16:01;Canon;0/3;Canon IXUS 117 HS
IMG_0050.JPG;jpg;1/320;5000/1000;250;28/10;;5;24;1;2012:06:23 12:16:49;Canon;0/3;Canon IXUS 117 HS
IMG_0051.JPG;jpg;1/320;5000/1000;320;28/10;;5;24;1;2012:06:23 12:17:06;Canon;0/3;Canon IXUS 117 HS
IMG_0052.JPG;jpg;1/320;5000/1000;320;28/10;;5;24;1;2012:06:23 12:18:22;Canon;0/3;Canon IXUS 117 HS
IMG_0053.JPG;jpg;1/500;5000/1000;400;28/10;;5;24;1;2012:06:23 12:18:56;Canon;0/3;Canon IXUS 117 HS
IMG_0054.JPG;jpg;1/250;5000/1000;250;28/10;;5;24;1;2012:06:23 12:19:29;Canon;0/3;Canon IXUS 117 HS
IMG_0055.JPG;jpg;1/250;5000/1000;200;28/10;;5;24;1;2012:06:23 12:21:12;Canon;0/3;Canon IXUS 117 HS
IMG_0056.JPG;jpg;1/250;5000/1000;200;28/10;;5;24;1;2012:06:23 12:21:51;Canon;0/3;Canon IXUS 117 HS
IMG_0058.JPG;jpg;1/40;5000/1000;800;28/10;;5;24;1;2012:06:23 12:58:22;Canon;0/3;Canon IXUS 117 HS
IMG_0059.JPG;jpg;1/250;5000/1000;400;28/10;;5;24;1;2012:06:23 18:04:39;Canon;0/3;Canon IXUS 117 HS
IMG_0060.JPG;jpg;1/100;8022/1000;400;35/10;;5;24;1;2012:06:23 18:05:13;Canon;0/3;Canon IXUS 117 HS
IMG_0067.JPG;jpg;1/160;5000/1000;400;28/10;;5;24;1;2012:06:23 20:03:35;Canon;0/3;Canon IXUS 117 HS
IMG_0068.JPG;jpg;1/60;5000/1000;500;28/10;;5;24;1;2012:06:23 20:20:37;Canon;0/3;Canon IXUS 117 HS
IMG_0069.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:24 21:03:15;Canon;0/3;Canon IXUS 117 HS
IMG_0070.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;8;2012:06:24 21:03:39;Canon;0/3;Canon IXUS 117 HS
IMG_0071.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:24 21:04:00;Canon;0/3;Canon IXUS 117 HS
IMG_0072.JPG;jpg;1/60;5000/1000;800;28/10;;5;89;1;2012:06:24 21:04:19;Canon;0/3;Canon IXUS 117 HS
IMG_0073.JPG;jpg;1/250;5000/1000;160;80/10;;5;24;1;2012:06:25 10:21:03;Canon;0/3;Canon IXUS 117 HS
IMG_0074.JPG;jpg;1/250;5000/1000;200;80/10;;5;24;1;2012:06:25 10:21:30;Canon;0/3;Canon IXUS 117 HS
IMG_0075.JPG;jpg;1/1000;5000/1000;200;28/10;;5;24;1;2012:06:25 10:22:00;Canon;0/3;Canon IXUS 117 HS
IMG_0077.JPG;jpg;1/200;5000/1000;125;80/10;;5;24;1;2012:06:25 10:22:15;Canon;0/3;Canon IXUS 117 HS
IMG_0078.JPG;jpg;1/250;5000/1000;200;80/10;;5;89;1;2012:06:25 10:23:55;Canon;0/3;Canon IXUS 117 HS
IMG_0086.JPG;jpg;1/20;5000/1000;1250;28/10;;5;24;1;2012:06:25 20:44:57;Canon;0/3;Canon IXUS 117 HS
IMG_0087.JPG;jpg;1/20;5000/1000;1250;28/10;;5;24;1;2012:06:25 20:45:10;Canon;0/3;Canon IXUS 117 HS
IMG_0088.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:25 21:03:01;Canon;0/3;Canon IXUS 117 HS
IMG_0089.JPG;jpg;1/15;6008/1000;400;32/10;;5;89;1;2012:06:25 21:03:28;Canon;0/3;Canon IXUS 117 HS
IMG_0090.JPG;jpg;1/60;6008/1000;500;32/10;;2;73;1;2012:06:25 21:03:50;Canon;0/3;Canon IXUS 117 HS
IMG_0093.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:25 21:05:04;Canon;0/3;Canon IXUS 117 HS
IMG_0094.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:25 21:06:26;Canon;0/3;Canon IXUS 117 HS
IMG_0097.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:25 21:10:38;Canon;0/3;Canon IXUS 117 HS
IMG_0101.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:25 21:15:35;Canon;0/3;Canon IXUS 117 HS
IMG_0103.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:25 21:16:03;Canon;0/3;Canon IXUS 117 HS
IMG_0104.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:25 21:16:15;Canon;0/3;Canon IXUS 117 HS
IMG_0105.JPG;jpg;1/60;5000/1000;800;28/10;;5;89;1;2012:06:25 21:16:27;Canon;0/3;Canon IXUS 117 HS
IMG_0106.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:25 21:17:44;Canon;0/3;Canon IXUS 117 HS
